,date,membership_number,amount,n_sales,brand,item_name,category1,category2,gender,age,rank,address
0,10/01/2021,1745105,6000,1,jeanasis,12GｱｿｰﾄﾎﾞﾀﾝｸﾙｰCD,レディース,ニット,f,50,regular,chiba
1,10/01/2021,5525093,5900,1,bayflow,ﾐﾈﾄﾝｶ ECOｽｴｰﾄﾞPO,MENSアパレル,Ｍ．トップス,f,40,silver,chiba
2,10/01/2021,10652065,13000,1,jeanasis,ﾋﾞｶﾞｰﾛﾝｸﾞﾌﾞｰﾂ,レディース,シューズ,f,40,gold,chiba
3,10/01/2021,11814932,4500,1,niko_and,ｶﾗﾌﾙｽﾄﾗｲﾌﾟBDｼｬﾂ,ウィメンズウェア,Ｌ．トップス,f,20,silver,chiba
4,10/01/2021,12004767,9000,1,hare,ｽﾃｯﾁﾃﾞｻﾞｲﾝSK,レディース,スカート,m,20,gold,chiba
5,10/01/2021,30909071,4500,1,niko_and,40ﾋﾞｴﾗﾁｪｯｸﾜｲﾄﾞSH,ウィメンズウェア,Ｌ．トップス,f,40,platinum,chiba
6,10/01/2021,31786803,3510,1,rageblue,ﾗｸﾞｲｰｼﾞｰｼｬﾂLS,メンズ,フハク,f,30,silver,chiba
7,10/01/2021,32593477,6000,1,jeanasis,12GｱｿｰﾄﾎﾞﾀﾝｸﾙｰCD,レディース,ニット,f,20,silver,chiba
8,10/01/2021,33288184,7000,1,lowrys_farm,ﾒﾗﾝｼﾞﾂｲﾙｳｼﾛﾀｯｸJK,レディース,アウター,f,-1,silver,chiba
9,10/01/2021,34063362,5900,1,niko_and,ｷﾓｳﾂｲﾙｲｰｼﾞｰPT,メンズウェア,ＭＥＮＳ,f,10,silver,ibaraki
10,10/01/2021,34063362,9000,1,jeanasis,ﾛﾝｸﾞﾃｰﾗｰﾍﾞｽﾄ,レディース,アウター,f,10,silver,ibaraki
11,10/01/2021,34063362,5900,1,niko_and,ｷﾓｳﾂｲﾙｵｰﾌﾟﾝｶﾗｰSH,メンズウェア,Ｍ．トップス,f,10,silver,ibaraki
12,10/01/2021,34063362,5000,1,rageblue,TRﾀｯｸﾜｲﾄﾞP,メンズ,パンツ,f,10,silver,ibaraki
13,10/01/2021,34064124,3500,1,global_work,ｷﾅｶﾞｽﾄﾞﾗｲｶｰﾃﾞ,メンズ,カット,m,20,regular,chiba
14,10/01/2021,34064553,3900,1,global_work,ﾄﾘﾌﾟﾙｲｰｼﾞｰｶﾞﾗﾆｯﾄ,レディース,ニット,f,20,regular,saitama
15,10/02/2021,1122331,5900,1,niko_and,ｷﾓｳﾂｲﾙｲｰｼﾞｰPT,メンズウェア,ＭＥＮＳ,f,40,gold,chiba
16,10/02/2021,1122331,10000,1,rageblue,PEﾂｲﾙﾄﾚﾝﾁｺｰﾄ,メンズ,アウター,f,40,gold,chiba
17,10/02/2021,1122331,5900,1,niko_and,ｷﾓｳﾂｲﾙｵｰﾌﾟﾝｶﾗｰSH,メンズウェア,Ｍ．トップス,f,40,gold,chiba
18,10/02/2021,1122331,2900,1,niko_and,ﾜｯｼｬｰﾛｰﾙｷｬｯﾌﾟ,メンズ服飾雑貨,Ｍ．グッズ,f,40,gold,chiba
19,10/02/2021,1122331,6500,1,jeanasis,VｶﾗｰﾂｲﾙBIGSHLS,レディース,フハク,f,40,gold,chiba
20,10/02/2021,1205679,1900,1,global_work,ｱﾗｴﾙｺｳｷﾝﾊﾞｹｯﾄﾊｯﾄ,レディース,その他服飾雑貨,f,30,platinum,chiba
21,10/02/2021,1413822,4900,1,pageboy,ｳｰﾙﾗｲｸSETUPSP,レディース,ショートパンツ,f,50,gold,tokyo
22,10/02/2021,1413822,4000,1,lowrys_farm,ﾎﾟﾝﾁｻｲﾄﾞｽﾘｯﾄﾊﾟﾝﾂ,レディース,パンツ,f,50,gold,tokyo
23,10/02/2021,1413822,4500,1,pageboy,ｸﾙｰﾈｯｸﾎﾞﾘｭｰﾑCD,レディース,ニット,f,50,gold,tokyo
24,10/02/2021,2556011,1900,1,global_work,ｿﾃﾞﾎﾞﾘｭｰﾑﾛﾝT,レディース,カット,f,20,regular,tokyo
25,10/02/2021,2815479,3500,1,lowrys_farm,K/CｷﾞｬｻﾞｰｷﾘｶｴBL,キッズ,インナー,f,30,regular,chiba
26,10/02/2021,3139775,2250,1,global_work,ﾃｨｱｰﾄﾞﾌﾞﾗｳｽ/7S,キッズ,インナー,f,30,regular,chiba
27,10/02/2021,3509747,4410,1,lepsim,ｷﾘｶｴｷﾞｬｻﾞｰOP,レディース,ワンピース,f,30,silver,kanagawa
28,10/02/2021,3509747,4050,1,lepsim,12Gﾎﾟﾝﾁｮﾍﾞｽﾄ,レディース,ニット,f,30,silver,kanagawa
29,10/02/2021,3509747,5310,1,niko_and,ｽﾄﾗｲﾌﾟBIGVﾈｯｸCD,メンズウェア,Ｍ．トップス,f,30,silver,kanagawa
30,10/02/2021,3509747,4950,1,niko_and,ﾀﾞﾝﾎﾞｰﾙｸﾙｰﾈｯｸPO,NUMERALS,Ｍ．トップス,f,30,silver,kanagawa
31,10/02/2021,3509747,3240,1,bayflow,ｼﾙｸMIXVﾈｯｸﾆｯﾄ,WOMENSアパレル,Ｌ．トップス,f,30,silver,kanagawa
32,10/02/2021,3834615,1900,1,lowrys_farm,ﾚｰｽﾌﾗｯﾌﾟﾁｭﾆｯｸ5S,レディース,フハク,f,40,silver,chiba
33,10/02/2021,3834615,3900,1,lakole,ｼﾙｷｰﾀｯﾁｽｴｰﾄﾞPK,メンズ,ｶｯﾄｿｰ,f,40,silver,chiba
34,10/02/2021,3927443,3900,1,global_work,ｸﾛｺﾎﾞｽﾄﾝﾊﾞｯｸﾞ,レディース,バッグ,f,20,silver,kanagawa
35,10/02/2021,3927443,13000,2,jeanasis,Wﾌｪｲｽﾌｰﾃﾞｨ,レディース,ニット,f,20,silver,kanagawa
36,10/02/2021,3927443,3600,1,bayflow,ｼﾙｸMIXVﾈｯｸﾆｯﾄ,WOMENSアパレル,Ｌ．トップス,f,20,silver,kanagawa
37,10/02/2021,4722211,6000,1,jeanasis,12GｱｿｰﾄﾎﾞﾀﾝｸﾙｰCD,レディース,ニット,f,40,gold,chiba
38,10/02/2021,4928310,11700,1,apart_by_lawrys,HAND/ﾎﾟｹｯﾄCD,レディース,ニット,f,20,gold,chiba
39,10/02/2021,4928310,5850,1,apart_by_lawrys,ｿﾛﾃｯｸｽ/REGｼｬﾂ,レディース,フハク,f,20,gold,chiba
40,10/02/2021,6144156,2000,1,rageblue,ﾚｻﾞｰﾀｯﾁﾄｰﾄBAG,メンズ,バッグ,f,50,silver,tokyo
41,10/02/2021,6178395,6000,1,jeanasis,12GｱｿｰﾄﾎﾞﾀﾝｸﾙｰCD,レディース,ニット,f,30,diamond,ibaraki
42,10/02/2021,6633104,3600,1,bayflow,ｼﾙｸMIXVﾈｯｸﾆｯﾄ,WOMENSアパレル,Ｌ．トップス,f,40,silver,chiba
43,10/02/2021,6633104,4500,1,global_work,ｻﾗｻﾗｻﾃﾝﾌﾚｱｽｶｰﾄ,レディース,スカート,f,40,silver,chiba
44,10/02/2021,6633104,2000,1,lakole,ﾊﾞｽｸﾛﾝｸﾞｽﾘｰﾌﾞT,メンズ,ｶｯﾄｿｰ,f,40,silver,chiba
45,10/02/2021,7650064,6300,1,lowrys_farm,ﾗﾅﾃｯｸﾀｷﾉｳﾀﾞﾌﾞﾙJK,レディース,アウター,f,20,silver,chiba
46,10/02/2021,8036458,4500,1,lowrys_farm,7GﾁｬｲﾅCDLS,レディース,ニット,f,20,gold,chiba
47,10/02/2021,8756546,2450,1,lowrys_farm,ｼﾞｬｶﾞｰﾄﾞﾄｰﾄBAG,レディース,バッグ,NA,-1,regular,kanagawa
48,10/02/2021,9016052,2250,1,global_work,ｿｯｶﾝ/ﾌﾟﾘｰﾂｲｰｼﾞｰP,キッズ,ボトムス,f,40,gold,chiba
49,10/02/2021,9016052,4500,1,niko_and,ﾏｰｾWashingﾊﾞﾝﾄﾞS,ウィメンズウェア,Ｌ．トップス,f,40,gold,chiba
50,10/02/2021,9016052,2500,1,global_work,ｵｼｬﾗｸﾄﾞｯｷﾝｸﾞPOLS,キッズ,インナー,f,40,gold,chiba
51,10/02/2021,9141410,5310,1,pageboy,ﾌﾛﾝﾄｽﾘｯﾄｼﾞｰﾝｽﾞ,レディース,パンツ,f,20,silver,chiba
52,10/02/2021,9991843,3900,1,lakole,7GｱｿｰﾄｼﾞｬｶﾞｰﾄﾞCD,ウィメンズ,ﾆｯﾄ,f,20,silver,saitama
53,10/02/2021,10593063,3900,1,global_work,ﾄﾘﾌﾟﾙｲｰｼﾞｰｶﾞﾗﾆｯﾄ,レディース,ニット,f,20,gold,chiba
54,10/02/2021,11093316,2835,1,niko_and,ｷﾞﾝｶﾞﾑﾁｪｯｸﾌﾚｱPT,ウィメンズウェア,Ｌ．ボトムス,f,30,silver,tokyo
55,10/02/2021,11093316,4725,1,lowrys_farm,ﾀﾞﾌﾞﾙﾙｰｽﾞｼﾞｬｹｯﾄ,レディース,アウター,f,30,silver,tokyo
56,10/02/2021,12065305,6500,1,lowrys_farm,ﾚｲﾔｰﾄﾞﾍﾞｽﾄ2POP,レディース,ワンピース,f,20,regular,tokyo
57,10/02/2021,12102806,6210,1,bayflow,JMﾛｺﾞJQﾆｯﾄPO,MENSアパレル,Ｍ．トップス,f,50,regular,chiba
58,10/02/2021,12190226,5310,1,niko_and,ｷﾓｳﾂｲﾙｵｰﾌﾟﾝｶﾗｰSH,メンズウェア,Ｍ．トップス,f,20,silver,chiba
59,10/02/2021,12377156,5309,1,niko_and,CｺｳﾐﾂｽﾀﾝﾄﾞﾏｷｼOP2,ウィメンズウェア,ＯＰ＆チュニック,m,50,silver,chiba
60,10/02/2021,12377156,4501,1,rageblue,TRﾅﾛｰﾃｰﾊﾟｰﾄP,メンズ,パンツ,m,50,silver,chiba
